strain,type,potency,rating,review_count,reports,Anxiety ,Creative ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Focused ,Happy ,Headache ,Insomnia ,Pain ,Paranoid ,Stress ,Uplifted ,ADD/ADHD ,Fatigue ,Giggly ,Muscle spasms ,Relaxed ,Energetic ,Inflammation ,Cramps ,Headaches ,Sleepy ,Tingly ,Hungry ,Anxious ,PTSD ,Lack of appetite ,Talkative ,Nausea ,Bipolar disorder ,Fibromyalgia ,Spasticity ,Migraines ,Aroused ,Eye pressure ,Multiple sclerosis ,Gastrointestinal disorder ,Alzheimer's ,PMS ,Arthritis ,Epilepsy ,Seizures ,Asthma ,Parkinson's ,Spinal cord injury ,Tourette's syndrome ,Anorexia ,Tinnitus ,Cancer ,Muscular dystrophy ,Phantom limb pain ,Hypertension ,Crohn's disease ,Glaucoma ,HIV/AIDS 
840,Hybrid,Unavailable,4.0,(1),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 lb Hammer,Indica,THC 18%,4.6,(951),694 people reported 4160 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],,['19% of people say it helps with depression'],['3% of people report feeling dizzy'],['7% of people report feeling dry eyes'],['18% of people report feeling dry mouth'],['33% of people report feeling euphoric'],,['32% of people report feeling happy'],['2% of people report feeling headache'],['24% of people say it helps with insomnia'],['28% of people say it helps with pain'],,['27% of people say it helps with stress'],,,,,,['66% of people report feeling relaxed'],,,,,['47% of people report feeling sleepy'],,['19% of people report feeling hungry'],['1% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91 Krypt,Indica,THC 16%,4.8,(16),13 people reported 124 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['46% of people say it helps with depression'],['23% of people report feeling dizzy'],['7% of people report feeling dry eyes'],['23% of people report feeling dry mouth'],['53% of people report feeling euphoric'],,['53% of people report feeling happy'],,['38% of people say it helps with insomnia'],,,['53% of people say it helps with stress'],,,,['30% of people report feeling giggly'],,['92% of people report feeling relaxed'],,,,,['38% of people report feeling sleepy'],,,,,['46% of people say it helps with lack of appetite'],,['30% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
92 Cookies,Hybrid,Unavailable,4.5,(4),3 people reported 10 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['33% of people say it helps with anxiety'],,['33% of people say it helps with depression'],,,,['33% of people report feeling euphoric'],['33% of people report feeling focused'],['33% of people report feeling happy'],,,,,,['33% of people report feeling uplifted'],,['33% of people say it helps with fatigue'],,,['33% of people report feeling relaxed'],,,,,,,,,,,,,,['33% of people say it helps with fibromyalgia'],,,,,,,,,,,,,,,,,,,,,,,,
92 OG,Hybrid,Unavailable,4.6,(7),4 people reported 21 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],,,,['25% of people report feeling dry eyes'],,['75% of people report feeling euphoric'],['50% of people report feeling focused'],,,['25% of people say it helps with insomnia'],['50% of people say it helps with pain'],,['25% of people say it helps with stress'],['25% of people report feeling uplifted'],,['25% of people say it helps with fatigue'],,,['75% of people report feeling relaxed'],,,,,,,['50% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95 Silver Haze,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99 Problems,Unavailable,THC 22%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Indica,Unavailable,4.2,(5),3 people reported 50 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['66% of people say it helps with anxiety'],,['66% of people say it helps with depression'],,['33% of people report feeling dry eyes'],['66% of people report feeling dry mouth'],['100% of people report feeling euphoric'],['66% of people report feeling focused'],['66% of people report feeling happy'],,,,,['66% of people say it helps with stress'],['66% of people report feeling uplifted'],['66% of people say it helps with add/adhd'],,,,['100% of people report feeling relaxed'],,,,,,,,['33% of people report feeling anxious'],,,,,,,['66% of people say it helps with spasticity'],,,,,,,,,,,,,,,,,,,,,,,
9D4,Hybrid,THC 22%,4.7,(6),3 people reported 9 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,['33% of people report feeling focused'],['33% of people report feeling happy'],,,['66% of people say it helps with pain'],,,['33% of people report feeling uplifted'],,,['66% of people report feeling giggly'],,['33% of people report feeling relaxed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A La Mode,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-10,Indica,THC 11%,3.0,(164),113 people reported 666 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['38% of people say it helps with anxiety'],['38% of people report feeling creative'],,['8% of people report feeling dizzy'],['24% of people report feeling dry eyes'],['37% of people report feeling dry mouth'],['43% of people report feeling euphoric'],,['35% of people report feeling happy'],['5% of people report feeling headache'],['33% of people say it helps with insomnia'],['45% of people say it helps with pain'],['11% of people report feeling paranoid'],['42% of people say it helps with stress'],['24% of people report feeling uplifted'],,,,,,,,,,['24% of people report feeling sleepy'],,,,,,,,,,,['23% of people say it helps with migraines'],,,,,,,,,,,,,,,,,,,,,,
A-Dub,Hybrid,THC 23%,4.5,(68),43 people reported 376 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['32% of people say it helps with anxiety'],['30% of people report feeling creative'],['34% of people say it helps with depression'],,['18% of people report feeling dry eyes'],['30% of people report feeling dry mouth'],['62% of people report feeling euphoric'],,['67% of people report feeling happy'],['4% of people report feeling headache'],,['37% of people say it helps with pain'],,['41% of people say it helps with stress'],['44% of people report feeling uplifted'],,,,,['69% of people report feeling relaxed'],,,,['18% of people say it helps with headaches'],,,,['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Train,Hybrid,THC 18%,4.0,(84),68 people reported 531 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],,['29% of people say it helps with depression'],['7% of people report feeling dizzy'],['10% of people report feeling dry eyes'],['30% of people report feeling dry mouth'],['45% of people report feeling euphoric'],,['57% of people report feeling happy'],,['17% of people say it helps with insomnia'],['26% of people say it helps with pain'],['8% of people report feeling paranoid'],['32% of people say it helps with stress'],['38% of people report feeling uplifted'],,,,,['33% of people report feeling relaxed'],,,,,,,['29% of people report feeling hungry'],['5% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.S.S.,Unavailable,THC 21%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA OG,Hybrid,Unavailable,5.0,(2),1 people reported 8 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,['100% of people report feeling focused'],['100% of people report feeling happy'],,,,,,['100% of people report feeling uplifted'],,,['100% of people report feeling giggly'],,,,,,,,,,,,,['100% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
AC Tsunami,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDC,Hybrid,CBD 14%,4.5,(789),594 people reported 3860 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['35% of people say it helps with anxiety'],,['22% of people say it helps with depression'],['2% of people report feeling dizzy'],['4% of people report feeling dry eyes'],['10% of people report feeling dry mouth'],,['32% of people report feeling focused'],['38% of people report feeling happy'],['2% of people report feeling headache'],,['41% of people say it helps with pain'],,['37% of people say it helps with stress'],['34% of people report feeling uplifted'],,,,,['62% of people report feeling relaxed'],['17% of people report feeling energetic'],['24% of people say it helps with inflammation'],,,,,,['2% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDC Cookies,Hybrid,THC 19%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK 420,Unavailable,THC 12%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK Choco Kush,Hybrid,Unavailable,5.0,(1),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
