strain,type,potency,rating,review_count,reports,Anxiety ,Anxious ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Happy ,Insomnia ,Pain ,Paranoid ,Relaxed ,Sleepy ,Stress ,Uplifted ,Hungry ,Creative ,Headache ,Energetic ,Fatigue ,PTSD ,Talkative ,Focused ,Headaches ,Lack of appetite ,Tingly ,Nausea ,Giggly ,Eye pressure ,Cramps ,Muscle spasms ,Bipolar disorder ,Inflammation ,Gastrointestinal disorder ,Migraines ,Asthma ,Aroused ,Spasticity ,ADD/ADHD ,PMS ,Arthritis ,Seizures ,Fibromyalgia ,Glaucoma ,Crohn's disease ,Cancer ,Spinal cord injury ,Hypertension ,Phantom limb pain ,Anorexia ,Epilepsy ,Tourette's syndrome ,Multiple sclerosis 
Jack Herer,Sativa,THC 17%,4.4,(4501),3232 people reported 22258 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],['4% of people report feeling anxious'],['27% of people say it helps with depression'],['6% of people report feeling dizzy'],['15% of people report feeling dry eyes'],['25% of people report feeling dry mouth'],['46% of people report feeling euphoric'],['54% of people report feeling happy'],,['21% of people say it helps with pain'],['6% of people report feeling paranoid'],,,['35% of people say it helps with stress'],['51% of people report feeling uplifted'],,['41% of people report feeling creative'],,['46% of people report feeling energetic'],['14% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherbert,Hybrid,THC 18%,4.6,(1390),966 people reported 6089 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['23% of people say it helps with anxiety'],['4% of people report feeling anxious'],['23% of people say it helps with depression'],['3% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['19% of people report feeling dry mouth'],['44% of people report feeling euphoric'],['52% of people report feeling happy'],['12% of people say it helps with insomnia'],['20% of people say it helps with pain'],['3% of people report feeling paranoid'],['60% of people report feeling relaxed'],,['29% of people say it helps with stress'],['37% of people report feeling uplifted'],,['24% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Widow,Hybrid,THC 16%,4.3,(4148),2916 people reported 22104 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],['4% of people report feeling anxious'],['25% of people say it helps with depression'],['9% of people report feeling dizzy'],['19% of people report feeling dry eyes'],['35% of people report feeling dry mouth'],['54% of people report feeling euphoric'],['58% of people report feeling happy'],['13% of people say it helps with insomnia'],['27% of people say it helps with pain'],['8% of people report feeling paranoid'],['43% of people report feeling relaxed'],,['36% of people say it helps with stress'],['49% of people report feeling uplifted'],,['36% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa,Hybrid,THC 19%,4.5,(645),520 people reported 2800 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['17% of people say it helps with anxiety'],['3% of people report feeling anxious'],['17% of people say it helps with depression'],['2% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['11% of people report feeling dry mouth'],,['51% of people report feeling happy'],,['10% of people say it helps with pain'],['2% of people report feeling paranoid'],['39% of people report feeling relaxed'],,['17% of people say it helps with stress'],['50% of people report feeling uplifted'],,,,['41% of people report feeling energetic'],['10% of people say it helps with fatigue'],,,['37% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zkittlez,Indica,THC 19%,4.5,(632),469 people reported 2352 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['16% of people say it helps with anxiety'],['3% of people report feeling anxious'],['14% of people say it helps with depression'],['3% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['17% of people report feeling dry mouth'],['30% of people report feeling euphoric'],['39% of people report feeling happy'],['9% of people say it helps with insomnia'],['13% of people say it helps with pain'],,['55% of people report feeling relaxed'],['21% of people report feeling sleepy'],['18% of people say it helps with stress'],['27% of people report feeling uplifted'],,,['2% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple Express,Hybrid,THC 17%,4.4,(3757),2595 people reported 17374 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],['4% of people report feeling anxious'],['25% of people say it helps with depression'],['5% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['26% of people report feeling dry mouth'],['45% of people report feeling euphoric'],['61% of people report feeling happy'],,['16% of people say it helps with pain'],['5% of people report feeling paranoid'],['38% of people report feeling relaxed'],,['30% of people say it helps with stress'],['49% of people report feeling uplifted'],,,,['40% of people report feeling energetic'],['10% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granddaddy Purple,Indica,THC 18%,4.4,(5000),3547 people reported 25147 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],,['20% of people say it helps with depression'],['6% of people report feeling dizzy'],['16% of people report feeling dry eyes'],['29% of people report feeling dry mouth'],['42% of people report feeling euphoric'],['45% of people report feeling happy'],['29% of people say it helps with insomnia'],['32% of people say it helps with pain'],['4% of people report feeling paranoid'],['57% of people report feeling relaxed'],['47% of people report feeling sleepy'],['37% of people say it helps with stress'],,['31% of people report feeling hungry'],,['3% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do-Si-Dos,Indica,THC 21%,4.7,(748),556 people reported 3126 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['21% of people say it helps with anxiety'],['1% of people report feeling anxious'],['15% of people say it helps with depression'],['6% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],['41% of people report feeling euphoric'],['40% of people report feeling happy'],['16% of people say it helps with insomnia'],['18% of people say it helps with pain'],['2% of people report feeling paranoid'],['64% of people report feeling relaxed'],['31% of people report feeling sleepy'],['24% of people say it helps with stress'],['27% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Crack,Sativa,THC 17%,4.3,(6489),4557 people reported 33638 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],['6% of people report feeling anxious'],['27% of people say it helps with depression'],['6% of people report feeling dizzy'],['16% of people report feeling dry eyes'],['27% of people report feeling dry mouth'],['44% of people report feeling euphoric'],['55% of people report feeling happy'],,['19% of people say it helps with pain'],['8% of people report feeling paranoid'],,,['35% of people say it helps with stress'],['53% of people report feeling uplifted'],,,,['61% of people report feeling energetic'],['17% of people say it helps with fatigue'],,,['41% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durban Poison,Sativa,THC 17%,4.4,(3300),2353 people reported 15228 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['21% of people say it helps with anxiety'],['5% of people report feeling anxious'],['24% of people say it helps with depression'],['4% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['21% of people report feeling dry mouth'],['44% of people report feeling euphoric'],['49% of people report feeling happy'],,['17% of people say it helps with pain'],['5% of people report feeling paranoid'],,,['29% of people say it helps with stress'],['55% of people report feeling uplifted'],,,,['56% of people report feeling energetic'],['15% of people say it helps with fatigue'],,,['40% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubba Kush,Indica,THC 17%,4.2,(3353),2403 people reported 17506 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],,['20% of people say it helps with depression'],['8% of people report feeling dizzy'],['20% of people report feeling dry eyes'],['35% of people report feeling dry mouth'],['44% of people report feeling euphoric'],['49% of people report feeling happy'],['29% of people say it helps with insomnia'],['33% of people say it helps with pain'],['6% of people report feeling paranoid'],['62% of people report feeling relaxed'],['50% of people report feeling sleepy'],['36% of people say it helps with stress'],,['34% of people report feeling hungry'],,['3% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Lights,Indica,THC 16%,4.4,(3176),2249 people reported 16285 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],,['23% of people say it helps with depression'],['7% of people report feeling dizzy'],['16% of people report feeling dry eyes'],['32% of people report feeling dry mouth'],['49% of people report feeling euphoric'],['51% of people report feeling happy'],['27% of people say it helps with insomnia'],['30% of people say it helps with pain'],['4% of people report feeling paranoid'],['62% of people report feeling relaxed'],['41% of people report feeling sleepy'],['39% of people say it helps with stress'],['31% of people report feeling uplifted'],,,['3% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sundae Driver,Hybrid,THC 19%,4.7,(236),203 people reported 1000 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['14% of people say it helps with anxiety'],['0% of people report feeling anxious'],['11% of people say it helps with depression'],['0% of people report feeling dizzy'],['5% of people report feeling dry eyes'],['12% of people report feeling dry mouth'],['34% of people report feeling euphoric'],['52% of people report feeling happy'],,['14% of people say it helps with pain'],['1% of people report feeling paranoid'],['56% of people report feeling relaxed'],,['14% of people say it helps with stress'],['40% of people report feeling uplifted'],,['24% of people report feeling creative'],,,,,,,['6% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMO Cookies,Indica,THC 25%,4.7,(402),333 people reported 1827 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['19% of people say it helps with anxiety'],['3% of people report feeling anxious'],['13% of people say it helps with depression'],['3% of people report feeling dizzy'],['4% of people report feeling dry eyes'],['14% of people report feeling dry mouth'],['44% of people report feeling euphoric'],['44% of people report feeling happy'],['11% of people say it helps with insomnia'],['17% of people say it helps with pain'],['3% of people report feeling paranoid'],['68% of people report feeling relaxed'],['27% of people report feeling sleepy'],['16% of people say it helps with stress'],['32% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFV OG,Hybrid,THC 20%,4.4,(794),550 people reported 4006 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['24% of people say it helps with anxiety'],['3% of people report feeling anxious'],['24% of people say it helps with depression'],['5% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['23% of people report feeling dry mouth'],['46% of people report feeling euphoric'],['54% of people report feeling happy'],,['32% of people say it helps with pain'],,['53% of people report feeling relaxed'],,['31% of people say it helps with stress'],['43% of people report feeling uplifted'],,['29% of people report feeling creative'],['3% of people report feeling headache'],,,,,,['14% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemdawg,Hybrid,THC 19%,4.2,(2268),1599 people reported 11754 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],,['25% of people say it helps with depression'],['7% of people report feeling dizzy'],['18% of people report feeling dry eyes'],['30% of people report feeling dry mouth'],['53% of people report feeling euphoric'],['53% of people report feeling happy'],['14% of people say it helps with insomnia'],['29% of people say it helps with pain'],['5% of people report feeling paranoid'],['48% of people report feeling relaxed'],,['37% of people say it helps with stress'],['45% of people report feeling uplifted'],,['31% of people report feeling creative'],['3% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Pie,Hybrid,THC 16%,4.3,(1907),1297 people reported 8977 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['23% of people say it helps with anxiety'],['4% of people report feeling anxious'],['26% of people say it helps with depression'],['5% of people report feeling dizzy'],['14% of people report feeling dry eyes'],['25% of people report feeling dry mouth'],['48% of people report feeling euphoric'],['57% of people report feeling happy'],['13% of people say it helps with insomnia'],['21% of people say it helps with pain'],['4% of people report feeling paranoid'],['58% of people report feeling relaxed'],,['33% of people say it helps with stress'],['43% of people report feeling uplifted'],,['28% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,Hybrid,THC 21%,4.6,(295),254 people reported 1492 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['18% of people say it helps with anxiety'],['1% of people report feeling anxious'],['16% of people say it helps with depression'],['4% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],['53% of people report feeling euphoric'],['64% of people report feeling happy'],,['15% of people say it helps with pain'],['1% of people report feeling paranoid'],['68% of people report feeling relaxed'],,['18% of people say it helps with stress'],['46% of people report feeling uplifted'],,['25% of people report feeling creative'],,,,,,,,['10% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry Cough,Sativa,THC 17%,4.3,(2518),1813 people reported 12092 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],['3% of people report feeling anxious'],['25% of people say it helps with depression'],['6% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['24% of people report feeling dry mouth'],['46% of people report feeling euphoric'],['55% of people report feeling happy'],,['19% of people say it helps with pain'],['5% of people report feeling paranoid'],['36% of people report feeling relaxed'],,['34% of people say it helps with stress'],['51% of people report feeling uplifted'],,,,['38% of people report feeling energetic'],['11% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mac 1,Hybrid,THC 19%,4.7,(80),42 people reported 132 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['9% of people say it helps with anxiety'],,['7% of people say it helps with depression'],['2% of people report feeling dizzy'],['4% of people report feeling dry eyes'],['7% of people report feeling dry mouth'],['35% of people report feeling euphoric'],['26% of people report feeling happy'],,['14% of people say it helps with pain'],,['30% of people report feeling relaxed'],,['7% of people say it helps with stress'],['21% of people report feeling uplifted'],,['23% of people report feeling creative'],,,['4% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wedding Crasher,Hybrid,THC 21%,4.6,(154),121 people reported 691 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['14% of people say it helps with anxiety'],['1% of people report feeling anxious'],['15% of people say it helps with depression'],['3% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['17% of people report feeling dry mouth'],['40% of people report feeling euphoric'],['57% of people report feeling happy'],,['11% of people say it helps with pain'],,['56% of people report feeling relaxed'],,['14% of people say it helps with stress'],['45% of people report feeling uplifted'],,,['3% of people report feeling headache'],,,['9% of people say it helps with ptsd'],,['34% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stardawg,Hybrid,THC 21%,4.4,(644),487 people reported 3426 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],['4% of people report feeling anxious'],['24% of people say it helps with depression'],['9% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['28% of people report feeling dry mouth'],['48% of people report feeling euphoric'],['61% of people report feeling happy'],,['15% of people say it helps with pain'],['2% of people report feeling paranoid'],['52% of people report feeling relaxed'],,['26% of people say it helps with stress'],['47% of people report feeling uplifted'],,,,,,,,['32% of people report feeling focused'],,['13% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amnesia Haze,Sativa,THC 18%,4.3,(1473),1090 people reported 8562 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['24% of people say it helps with anxiety'],['6% of people report feeling anxious'],['28% of people say it helps with depression'],['12% of people report feeling dizzy'],['21% of people report feeling dry eyes'],['41% of people report feeling dry mouth'],['56% of people report feeling euphoric'],['64% of people report feeling happy'],,['21% of people say it helps with pain'],['14% of people report feeling paranoid'],,,['34% of people say it helps with stress'],['52% of people report feeling uplifted'],,['37% of people report feeling creative'],,['38% of people report feeling energetic'],['13% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biscotti,Hybrid,THC 21%,4.5,(108),78 people reported 281 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['5% of people say it helps with anxiety'],['1% of people report feeling anxious'],['5% of people say it helps with depression'],['1% of people report feeling dizzy'],['2% of people report feeling dry eyes'],['6% of people report feeling dry mouth'],['30% of people report feeling euphoric'],['42% of people report feeling happy'],['5% of people say it helps with insomnia'],,['1% of people report feeling paranoid'],['48% of people report feeling relaxed'],,['5% of people say it helps with stress'],['23% of people report feeling uplifted'],,,,,,,,,,['3% of people say it helps with lack of appetite'],['16% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Banner,Hybrid,THC 20%,4.5,(1211),835 people reported 5701 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['20% of people say it helps with anxiety'],['4% of people report feeling anxious'],['23% of people say it helps with depression'],['5% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['22% of people report feeling dry mouth'],['54% of people report feeling euphoric'],['56% of people report feeling happy'],,['21% of people say it helps with pain'],['4% of people report feeling paranoid'],['48% of people report feeling relaxed'],,['28% of people say it helps with stress'],['46% of people report feeling uplifted'],,['37% of people report feeling creative'],,,['11% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slurricane,Indica,THC 21%,4.6,(161),141 people reported 586 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['17% of people say it helps with anxiety'],['0% of people report feeling anxious'],['7% of people say it helps with depression'],['1% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['12% of people report feeling dry mouth'],['34% of people report feeling euphoric'],['41% of people report feeling happy'],['9% of people say it helps with insomnia'],['12% of people say it helps with pain'],,['63% of people report feeling relaxed'],['30% of people report feeling sleepy'],['9% of people say it helps with stress'],['24% of people report feeling uplifted'],,,['1% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trainwreck,Hybrid,THC 17%,4.2,(2967),2123 people reported 15555 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],['5% of people report feeling anxious'],['24% of people say it helps with depression'],['10% of people report feeling dizzy'],['20% of people report feeling dry eyes'],['31% of people report feeling dry mouth'],['56% of people report feeling euphoric'],['51% of people report feeling happy'],['13% of people say it helps with insomnia'],['26% of people say it helps with pain'],['10% of people report feeling paranoid'],['38% of people report feeling relaxed'],,['36% of people say it helps with stress'],['46% of people report feeling uplifted'],,['33% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gushers,Hybrid,THC 23%,4.6,(72),39 people reported 122 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['12% of people say it helps with anxiety'],['2% of people report feeling anxious'],['17% of people say it helps with depression'],['5% of people report feeling dizzy'],,['2% of people report feeling dry mouth'],['23% of people report feeling euphoric'],['28% of people report feeling happy'],['12% of people say it helps with insomnia'],['17% of people say it helps with pain'],,['30% of people report feeling relaxed'],,['23% of people say it helps with stress'],['12% of people report feeling uplifted'],,['15% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
